time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2013-10-31T07:03:26.400Z,38.8408,-122.8262,2.6,2.9,Md,,46.8,0.00898315,0.07,nc,nc72098701,2013-11-01T17:57:13.465Z,"9km WNW of Cobb, California",earthquake
2013-10-31T02:10:50.800Z,38.8308,-122.809,2.7,2.7,Md,,39.6,0.00898315,0.06,nc,nc72098566,2013-10-31T10:13:16.984Z,"7km W of Cobb, California",earthquake
2013-10-29T11:42:41.500Z,37.3873,-121.7362,8.1,2.5,Md,,32.4,0.02694946,0.11,nc,nc72097606,2013-11-07T04:20:11.389Z,"7km E of East Foothills, California",earthquake
2013-10-28T04:59:21.000Z,38.7448,-122.7223,2.2,3.3,Ml,,21.6,0.00898315,0.06,nc,nc72096866,2013-12-02T04:46:45.000Z,"4km SE of The Geysers, California",earthquake
2013-10-25T21:01:31.900Z,38.8087,-122.81,1.8,2.6,Md,,32.4,0.00898315,0.07,nc,nc72095471,2013-10-26T19:59:31.508Z,"5km NW of The Geysers, California",earthquake
2013-10-22T21:48:49.300Z,36.5073,-121.0728,9,2.7,Md,,68.4,0,0.07,nc,nc72093221,2013-11-02T05:14:09.915Z,"24km ENE of Soledad, California",earthquake
2013-10-21T08:32:56.400Z,37.7872,-121.9167,11.4,2.9,Md,,32.4,0.04491576,0.12,nc,nc72092001,2013-11-27T10:39:47.000Z,"3km SSW of Blackhawk, California",earthquake
2013-10-19T20:17:19.700Z,39.3978,-123.2703,5.2,3.1,Ml,,25.2,0.22457882,0.12,nc,nc72090951,2013-11-19T12:23:51.000Z,"7km E of Willits, California",earthquake
2013-10-19T04:02:24.500Z,36.5998,-121.2113,8.9,3.4,Mw,,28.8,0.07186522,0.09,nc,nc72090601,2013-12-03T23:58:21.000Z,"21km NNE of Soledad, California",earthquake
2013-10-19T03:44:43.100Z,36.6463,-121.2705,7.4,2.6,Md,,28.8,0.01796631,0.06,nc,nc72090591,2013-11-21T05:22:57.000Z,"20km SSE of Ridgemark, California",earthquake
2013-10-17T22:23:24.900Z,36.623,-121.1602,8.5,2.9,Md,,39.6,0.04491576,0.12,nc,nc72089726,2013-12-06T04:10:57.000Z,"26km NE of Soledad, California",earthquake
2013-10-17T00:53:45.800Z,36.6233,-121.1587,8.2,2.7,Md,,39.6,0.04491576,0.11,nc,nc72089136,2013-10-29T00:21:11.722Z,"26km NE of Soledad, California",earthquake
2013-10-15T10:37:07.000Z,38.7937,-122.8077,3.1,2.5,Md,,25.2,0.00898315,0.05,nc,nc72087911,2013-10-19T20:47:51.291Z,"4km WNW of The Geysers, California",earthquake
2013-10-15T09:15:12.100Z,37.8862,-122.2318,7,2.6,Md,,18,0.00898315,0.16,nc,nc72087836,2013-11-27T10:04:58.000Z,"3km ENE of Berkeley, California",earthquake
2013-10-15T09:06:19.600Z,37.8837,-122.2242,6.8,2.7,Md,,39.6,0,0.13,nc,nc72087826,2013-12-04T15:14:47.000Z,"3km W of Orinda, California",earthquake
2013-10-15T08:07:26.500Z,37.8827,-122.2305,7.3,3.2,Mw,,32.4,0.00898315,0.17,nc,nc72087796,2013-12-06T06:27:11.000Z,"3km ENE of Berkeley, California",earthquake
2013-10-11T23:23:24.100Z,38.8222,-122.793,3.5,2.7,Md,,32.4,0.00898315,0.06,nc,nc72086066,2013-10-12T07:26:00.645Z,"5km NNW of The Geysers, California",earthquake
